<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEXTN;60;210210;150000;1341.0600000;1342.0400000;1338.2500000;1339.2900000;195029631
MOEXTN;60;210210;160000;1337.8800000;1338.8200000;1336.3500000;1338.0000000;267763098
MOEXTN;60;210210;170000;1337.8500000;1338.0300000;1333.6900000;1336.5300000;400805663
MOEXTN;60;210210;180000;1336.5300000;1336.5500000;1329.1500000;1329.7500000;327770938
MOEXTN;60;210211;100000;1335.7400000;1340.2700000;1332.2900000;1332.3000000;214741746
MOEXTN;60;210211;110000;1332.3700000;1334.7200000;1331.6400000;1334.3000000;128448641
MOEXTN;60;210211;120000;1334.3800000;1336.2900000;1332.6400000;1334.7100000;79996130
MOEXTN;60;210211;130000;1335.0100000;1335.0100000;1332.4200000;1332.8300000;87969212
MOEXTN;60;210211;140000;1332.3200000;1333.1700000;1331.7800000;1332.4000000;86510191
MOEXTN;60;210211;150000;1332.4000000;1332.5800000;1330.9000000;1331.7300000;55682517
MOEXTN;60;210211;160000;1331.8100000;1333.3100000;1331.1700000;1331.9400000;55759739
MOEXTN;60;210211;170000;1331.6200000;1333.6600000;1331.1800000;1331.2900000;86373281
MOEXTN;60;210211;180000;1331.5900000;1333.1200000;1329.7400000;1331.3900000;173857427
MOEXTN;60;210212;100000;1332.3000000;1334.1900000;1324.1900000;1326.5300000;191893669
MOEXTN;60;210212;110000;1326.3000000;1326.7200000;1316.3600000;1318.3000000;180154940
MOEXTN;60;210212;120000;1318.1600000;1326.7900000;1318.1000000;1326.3300000;173217448
MOEXTN;60;210212;130000;1326.5400000;1328.8400000;1326.1800000;1326.8800000;105042418
MOEXTN;60;210212;140000;1326.9700000;1327.8100000;1325.3600000;1327.4000000;56333359
MOEXTN;60;210212;150000;1327.4300000;1330.3700000;1325.7300000;1328.6800000;118986954
MOEXTN;60;210212;160000;1328.7900000;1331.1700000;1328.0700000;1328.4200000;96797738
MOEXTN;60;210212;170000;1327.9800000;1330.3700000;1326.4600000;1330.0000000;91196799
MOEXTN;60;210212;180000;1330.2800000;1330.2800000;1327.5100000;1329.8200000;79420386
MOEXTN;60;210215;100000;1336.0500000;1342.0200000;1335.3900000;1338.6500000;259529408
MOEXTN;60;210215;110000;1338.2100000;1339.5700000;1333.4500000;1333.9200000;132745844
MOEXTN;60;210215;120000;1333.9200000;1333.9200000;1329.6300000;1330.1900000;164604873
MOEXTN;60;210215;130000;1329.8800000;1331.5500000;1328.3100000;1330.5200000;141492332
MOEXTN;60;210215;140000;1330.5200000;1331.6700000;1329.9400000;1330.8600000;75527428
MOEXTN;60;210215;150000;1330.8600000;1331.6800000;1329.2500000;1330.7800000;126434207
MOEXTN;60;210215;160000;1330.8300000;1331.6400000;1329.2900000;1329.5600000;97970993
MOEXTN;60;210215;170000;1329.8500000;1332.2400000;1328.9500000;1330.3300000;125992053
MOEXTN;60;210215;180000;1330.9500000;1332.9400000;1330.9200000;1332.3200000;67121510
MOEXTN;60;210216;100000;1338.2600000;1340.9700000;1334.9900000;1338.8300000;169646961
MOEXTN;60;210216;110000;1339.3000000;1340.0300000;1335.8600000;1336.6800000;122578603
MOEXTN;60;210216;120000;1336.8300000;1337.0300000;1333.6900000;1335.1100000;73849637
MOEXTN;60;210216;130000;1334.9300000;1336.6500000;1333.5500000;1334.0600000;68627580
MOEXTN;60;210216;140000;1334.0900000;1334.3400000;1331.1700000;1333.2000000;222688450
MOEXTN;60;210216;150000;1333.0500000;1335.7300000;1331.9600000;1334.8000000;134670893
MOEXTN;60;210216;160000;1334.5100000;1335.3800000;1332.9200000;1334.4800000;180374520
MOEXTN;60;210216;170000;1334.3300000;1336.5000000;1333.1200000;1335.3300000;234982095
MOEXTN;60;210216;180000;1335.3300000;1336.9000000;1335.1600000;1336.3800000;73273753
MOEXTN;60;210217;100000;1337.0100000;1340.7900000;1337.0100000;1339.1100000;127381954
MOEXTN;60;210217;110000;1338.7100000;1340.1400000;1336.8900000;1337.9100000;140040649
MOEXTN;60;210217;120000;1338.1200000;1338.1200000;1333.7400000;1335.1200000;134732804
MOEXTN;60;210217;130000;1335.1200000;1336.7900000;1332.9400000;1332.9400000;109632664
MOEXTN;60;210217;140000;1332.7700000;1334.7800000;1332.2200000;1334.6400000;108806256
MOEXTN;60;210217;150000;1334.9500000;1337.0300000;1334.6900000;1335.2800000;169676371
MOEXTN;60;210217;160000;1335.6100000;1336.2900000;1332.8100000;1333.2700000;185018877
MOEXTN;60;210217;170000;1333.3300000;1333.6900000;1330.3400000;1330.3400000;446524074
MOEXTN;60;210217;180000;1330.2700000;1331.6500000;1329.6800000;1330.2300000;116735525
MOEXTN;60;210218;100000;1331.9100000;1335.9100000;1330.7300000;1331.2900000;210713164
MOEXTN;60;210218;110000;1331.2900000;1332.0400000;1328.5600000;1330.3000000;152281344
MOEXTN;60;210218;120000;1330.1700000;1330.2700000;1328.9300000;1329.3100000;82654800
MOEXTN;60;210218;130000;1329.3100000;1330.9800000;1328.1500000;1328.5900000;133632709
MOEXTN;60;210218;140000;1328.7700000;1329.0400000;1327.5100000;1328.0200000;94807771
MOEXTN;60;210218;150000;1328.1400000;1329.6400000;1327.3200000;1328.7100000;135956665
MOEXTN;60;210218;160000;1329.1400000;1329.1600000;1326.8900000;1327.4700000;90651793
MOEXTN;60;210218;170000;1327.2000000;1327.2600000;1324.7500000;1325.8500000;147482208
MOEXTN;60;210218;180000;1326.0000000;1326.0700000;1322.1400000;1322.1400000;102285222
MOEXTN;60;210219;100000;1324.1600000;1330.6200000;1323.5000000;1329.1800000;199842765
MOEXTN;60;210219;110000;1329.1800000;1330.4200000;1327.2600000;1329.1600000;181638382
MOEXTN;60;210219;120000;1328.8000000;1330.4000000;1327.1100000;1329.0700000;239015566
MOEXTN;60;210219;130000;1329.3000000;1333.8800000;1327.6700000;1331.4200000;247676005
MOEXTN;60;210219;140000;1331.8800000;1333.6300000;1330.4500000;1330.9900000;101660425
MOEXTN;60;210219;150000;1330.4900000;1339.5800000;1330.3800000;1338.0600000;560491517
MOEXTN;60;210219;160000;1337.1700000;1338.6100000;1332.5200000;1337.0200000;314036538
MOEXTN;60;210219;170000;1337.3200000;1339.0700000;1333.3700000;1334.1800000;285924257
MOEXTN;60;210219;180000;1333.8900000;1337.0200000;1332.9800000;1334.0900000;179687711
MOEXTN;60;210220;100000;1333.9500000;1345.4300000;1333.9500000;1341.8200000;135084977
MOEXTN;60;210220;110000;1342.3200000;1343.9700000;1339.5200000;1343.5000000;75237400
MOEXTN;60;210220;120000;1343.4300000;1344.5400000;1342.3900000;1343.7700000;49630406
MOEXTN;60;210220;130000;1343.9900000;1345.8200000;1343.4000000;1344.0400000;47603274
MOEXTN;60;210220;140000;1343.7500000;1345.5800000;1343.1000000;1345.2200000;67647168
MOEXTN;60;210220;150000;1345.2800000;1345.7200000;1343.3100000;1344.1600000;42219550
MOEXTN;60;210220;160000;1344.0200000;1344.2800000;1342.0900000;1342.8200000;40796097
MOEXTN;60;210220;170000;1342.8800000;1344.4100000;1342.6600000;1343.4700000;23368613
MOEXTN;60;210220;180000;1343.5300000;1344.3900000;1342.7400000;1343.1600000;24453141
MOEXTN;60;210222;100000;1350.5300000;1350.5300000;1336.3800000;1339.3400000;173151864
MOEXTN;60;210222;110000;1339.3100000;1339.3100000;1335.5300000;1336.7600000;149888137
MOEXTN;60;210222;120000;1336.7600000;1340.1900000;1336.1000000;1336.3500000;105787865
MOEXTN;60;210222;130000;1336.6100000;1337.9200000;1335.4800000;1337.9200000;77292986
MOEXTN;60;210222;140000;1337.0000000;1337.8400000;1334.6800000;1335.3300000;81367364
MOEXTN;60;210222;150000;1335.6200000;1336.0700000;1332.6600000;1332.7400000;137150948
MOEXTN;60;210222;160000;1333.0900000;1334.6000000;1331.9400000;1332.1300000;104978831
MOEXTN;60;210222;170000;1332.0600000;1334.6400000;1329.0300000;1330.0200000;161035020
MOEXTN;60;210222;180000;1329.8100000;1330.5400000;1324.3600000;1325.7600000;142328513
MOEXTN;60;210224;100000;1327.4300000;1335.4400000;1327.4300000;1330.4600000;183276060
MOEXTN;60;210224;110000;1330.5600000;1331.8100000;1328.0700000;1328.6400000;125281484
MOEXTN;60;210224;120000;1328.6400000;1331.3500000;1328.0800000;1330.8000000;90670738
MOEXTN;60;210224;130000;1330.5100000;1332.7000000;1329.0600000;1331.8300000;142327377
MOEXTN;60;210224;140000;1332.2100000;1341.5500000;1331.8100000;1340.0600000;603944420
MOEXTN;60;210224;150000;1340.0600000;1340.7700000;1335.3800000;1336.1700000;224388198
MOEXTN;60;210224;160000;1336.3200000;1341.0900000;1334.1700000;1334.4600000;211401042
MOEXTN;60;210224;170000;1334.3900000;1335.9600000;1330.9700000;1331.8200000;223888263
MOEXTN;60;210224;180000;1331.7300000;1335.3400000;1329.8500000;1335.3400000;219997329
MOEXTN;60;210225;100000;1342.8600000;1346.5400000;1340.6300000;1344.0400000;185660592
MOEXTN;60;210225;110000;1344.0400000;1344.0400000;1333.9600000;1335.8300000;157484409
MOEXTN;60;210225;120000;1335.9000000;1337.7100000;1335.5200000;1336.6800000;99468819
MOEXTN;60;210225;130000;1336.7600000;1338.1200000;1335.9400000;1335.9400000;59352271
MOEXTN;60;210225;140000;1335.8900000;1336.4700000;1333.2800000;1336.4700000;136357757
MOEXTN;60;210225;150000;1336.3200000;1338.1000000;1335.9300000;1336.6200000;58705429
MOEXTN;60;210225;160000;1337.1700000;1339.4100000;1335.6400000;1338.5400000;122788741
MOEXTN;60;210225;170000;1338.8600000;1340.5000000;1337.3200000;1340.0600000;118971213
MOEXTN;60;210225;180000;1340.0400000;1341.8600000;1338.4100000;1338.7600000;76659870
MOEXTN;60;210226;100000;1332.7100000;1333.2100000;1323.4000000;1329.7200000;185846185
